144,Freeland,Davidge,Family Doctor,Golan Heights,majdal shams
145,Deanne,,,,
146,Danice,,,,
147,Mollee,,,,
148,Nariko,,,,
149,Martha,,,,
150,Shirl,,,,
151,Troy,,,,
152,Perren,,,,
153,Vanni,,,,
154,Delly,,,,
155,Verge,,,,
156,Tadd,,,,
157,Lorain,,,,
158,Yuri,,,,
159,Drud,,,,
160,Paulette,,,,
161,Robbyn,,,,
162,Abel,,,,
163,Wynn,,,,
164,Hercule,,,,
165,Brittani,,,,
166,Lee,,,,
